no,creation_date,q1_1,q1_2,q1_3_1,q1_3_2,q1_3_3,q1_3_3_r,q2_1,q2_2,q2_3_1,q2_3_2,q2_3_2_r,q2_3_3,q2_3_3_o,q2_4_1,q2_4_1_o,q2_4_2,q2_5_1,q2_5_1_o,q2_5_2,q2_5_2_o,q2_6_1,q2_6_2,q2_6_3,q2_6_3_o,q2_6_4,q2_6_5,q2_6_6,q2_6_6_o,q2_6_7,q2_6_8,q2_7_1,q2_7_1_o,q2_7_2,q2_7_2_o,q3_1,q3_2,q3_2_o,q3_3,q3_3_o,q4_1_1,q4_1_2,q4_1_3,q4_1_4,q4_2_1,q4_2_1_o,q4_2_2,q4_2_2_o,q4_3,q4_4_1,q4_4_2,q4_4_2_o,q4_4_3,q4_4_3_o,q4_5,q4_6_1,q4_6_2,q4_6_3,q4_6_4,q4_6_5,q4_6_6,q4_6_7,q4_6_8,q4_6_9,weight
1452,2018/6/25 上午 06:47:57.502000,1,3,2,2,1,3,1,2,201009,201407,102,2, ,1,98,1,21, ,1,",",2,2,98, ,98,98,10, ,98,98,6, ,9, ,1,"1,2,9", ,"6,10,11", ,1,2,3,1,1, ,11, ,1,1,98, ,98, ,1,1,1,1,1,1,1,1,1,1,2.97951662695039
2499,2018/6/14 上午 07:33:03.420000,2,6,2,1,2,2,3,4,200709,201209,101,2, ,5,98,1,45, ,1,",",2,2,98, ,98,98,"6,10", ,98,98,4, ,6, ,2,9, ,12, ,1,1,3,1,1, ,11, ,2,1,98, ,98, ,2,2,3,2,2,3,2,3,4,3,.877209236613222
4340,2018/6/5 下午 15:46:41.968000,1,4,2,1,2,2,1,2,200109,200706,95,2, ,1,98,2,40, ,1,",",2,2,98, ,98,98,3, ,5,98,9, ,1, ,3,4, ,"1,3,9", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,4,5,5,5,5,5,5,3,3,1.00641785787946
3651,2018/6/7 上午 10:31:57.643000,2,4,2,1,2,2,1,3,200607,201207,100,2, ,5,98,2,60, ,1,",",1,2,98, ,98,98,"3,4", ,1,2,8, ,4, ,4,"1,10", ,"4,7,9", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,6,4,4,4,4,4,2,1,3,.793523675898167
3567,2018/6/8 上午 00:39:15.023000,2,3,2,1,2,2,1,1,200509,201107,99,2, ,1,98,1,41, ,1,",",1,2,98, ,98,98,3, ,3,98,7, ,1, ,3,"7,9,10", ,"2,3,8", ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,2,3,2,4,3,2,1,2,.577473077381928
3607,2018/6/7 下午 16:42:22.929000,1,2,2,1,2,2,1,2,200809,201311,102,2, ,1,98,1,11, ,1,",",1,2,98, ,98,98,"3,4,6", ,3,2,5, ,4, ,1,13, , , ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,1,1,1,1,1,1,1,5,1.99380278446426
3848,2018/6/6 上午 11:40:40.507000,2,3,1,1,2,2,1,1,200609,201106,99,2, ,1,98,1,10, ,1,",",2,2,98, ,98,98,3, ,2,98,4, ,5, ,5,"2,9", ,"4,6,7", ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,5,5,5,5,5,5,3,5,2,2,.729439676692963
3080,2018/6/13 下午 18:55:22.141000,1,2,2,1,2,2,2,2,201509,201806,105,2, ,3,98,1,11, ,1,",",1,2,98, ,98,98,"3,4", ,3,1,4, ,7, ,2,"4,8,9", ,"7,11", ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,3,3,3,3,3,3,3,3,6.3809903947864
4327,2018/6/5 下午 15:53:18.724000,1,4,1,1,2,2,2,3,200709,201507,103,1, ,1,98,2,76, ,1,",",2,2,98, ,98,98,"3,6,7", ,1,98,4, ,2, ,3,"1,4,9", ,12,資深老師們對學術環境的錯誤評估,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,5,3,1,5,3,3,3,6,6,.38364108026489
3537,2018/6/8 下午 15:33:55.028000,2,3,2,1,2,2,1,3,200709,201602,104,1, ,1,98,2,60, ,1,",",1,2,98, ,98,98,"3,6,7", ,2,98,4, ,1, ,2,"1,2,3", ,4, ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,2,1,98,98,2,98,98,98,98,98,.566653537201912
3475,2018/6/11 下午 16:20:44.958000,1,3,1,1,2,2,1,3,200909,201607,104,1, ,5,98,2,64, ,1,",",1,2,98, ,98,98,"3,4,7", ,2,3,4, ,1, ,2,"1,4", ,"3,5,11", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,1,1,2,1,1,1,1,3,3,3,.74148281969937
1582,2018/6/25 上午 02:34:58.784000,2,2,2,1,2,2,1,2,200909,201606,104,2, ,1,98,1,50, ,1,",",1,2,98, ,98,98,3, ,2,98,4, ,3, ,1,"1,2", ,5, ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,2,98,2,2,98,98,98,98,98,.756482472164553
3104,2018/6/13 下午 18:42:04.265000,1,3,2,1,2,2,1,2,200809,201508,103,2, ,1,98,2,60, ,1,",",1,2,98, ,98,98,"2,3,4", ,2,2,4, ,5, ,4,"7,8,9", ,"1,2,4", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,6,6,6,2,2,2,3,5,2,.793841927625042
4178,2018/6/5 下午 17:18:01.836000,1,5,2,1,2,2,2,3,200009,200506,93,2, ,1,98,2,71, ,1,",",2,2,98, ,98,98,"3,6,7", ,3,98,4, ,1, ,1,"2,4,9", ,"3,6,11", ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,5,1,5,4,5,5,5,1,1,1,.834053400632462
