no,creation_date,q1_1,q1_2,q1_3_1,q1_3_2,q1_3_3,q1_3_3_r,q2_1,q2_2,q2_3_1,q2_3_2,q2_3_2_r,q2_3_3,q2_3_3_o,q2_4_1,q2_4_1_o,q2_4_2,q2_5_1,q2_5_1_o,q2_5_2,q2_5_2_o,q2_6_1,q2_6_2,q2_6_3,q2_6_3_o,q2_6_4,q2_6_5,q2_6_6,q2_6_6_o,q2_6_7,q2_6_8,q2_7_1,q2_7_1_o,q2_7_2,q2_7_2_o,q3_1,q3_2,q3_2_o,q3_3,q3_3_o,q4_1_1,q4_1_2,q4_1_3,q4_1_4,q4_2_1,q4_2_1_o,q4_2_2,q4_2_2_o,q4_3,q4_4_1,q4_4_2,q4_4_2_o,q4_4_3,q4_4_3_o,q4_5,q4_6_1,q4_6_2,q4_6_3,q4_6_4,q4_6_5,q4_6_6,q4_6_7,q4_6_8,q4_6_9,weight
732,2018/6/25 上午 10:10:31.889000,1,3,2,1,2,2,1,2,200709,201307,101,2, ,2,98,1,20, ,1,",",1,2,98, ,98,98,3, ,2,98,1, ,8, ,3,7, ,4, ,1,1,3,1,3, ,32, ,3,1,98, ,98, ,3,3,98,98,98,98,98,98,3,98,2.57151249764637
654,2018/6/25 上午 10:30:47.895000,1,2,2,1,2,2,1,1,200901,201308,101,2, ,1,98,99,29, ,2,",",1,2,98, ,98,98,3, ,3,98,1, ,3, ,1,"1,4,5", ,12,無,1,2,3,1,3, ,32, ,2,1,98, ,98, ,2,2,2,2,98,98,98,98,98,98,3.62000632000917
2714,2018/6/13 下午 22:18:43.242000,1,3,1,1,2,2,1,2,200809,201212,101,2, ,1,98,1,28, ,2,",",2,2,98, ,98,98,"3,6", ,3,98,1, ,4, ,2,1, ,"4,6,9", ,1,2,4,98,3, ,32, ,3,2,4, ,42, ,3,2,4,4,2,2,2,4,4,4,3.62000632000917
4750,2018/6/5 下午 12:20:03.113000,1,3,2,1,2,2,1,1,200709,201306,101,1, ,1,98,2,22, ,1,",",1,2,98, ,98,98,"2,3", ,4,98,1, ,4, ,1,"1,2,3", ,"4,5,6", ,1,1,3,1,3, ,32, ,2,1,98, ,98, ,1,1,1,1,1,1,1,1,1,1,3.62000632000917
3682,2018/6/7 上午 01:44:55.811000,1,2,1,1,2,2,1,2,200809,201712,105,1, ,1,98,2,11, ,1,",",1,2,98, ,98,98,"3,4,7", ,3,1,1, ,5, ,6,"8,9,10", ,"3,4,12",收入太低,1,2,3,1,3, ,32, ,6,1,98, ,98, ,1,1,3,3,3,3,1,1,3,3,4.2479747372095
1047,2018/6/25 上午 09:01:25.027000,1,3,1,1,2,2,1,2,200909,201309,102,2, ,1,98,2,76, ,1,",",2,2,98, ,98,98,"3,4,7", ,3,1,1, ,4, ,2,"3,4,9", ,"6,7", ,1,2,3,3,3, ,31, ,2,1,98, ,98, ,2,3,3,2,2,3,3,2,2,2,.165091950305958
3729,2018/6/6 下午 17:57:03.154000,2,3,1,1,2,2,1,1,200509,201008,98,2, ,1,98,2,17, ,1,",",2,2,98, ,98,98,"3,7", ,3,98,1, ,9, ,4,9, ,"4,5,6", ,1,1,3,1,3, ,31, ,2,1,98, ,98, ,3,3,5,4,6,5,2,2,2,1,.448378473430497
254,2018/6/25 下午 14:39:18.948000,1,7,2,2,2,4,2,3,199609,200103,89,2, ,7,2,2,27, ,2,",",2,2,98, ,98,98,3, ,5,98,1, ,4, ,2,"2,4,7", ,3, ,1,1,2,98,3, ,31, ,2,1,98, ,98, ,2,2,3,3,1,2,1,2,3,3,.858480732528187
3125,2018/6/13 下午 18:26:34.737000,1,4,2,1,2,2,1,2,200009,200607,94,2, ,1,98,1,27, ,1,",",1,2,98, ,98,98,3, ,3,98,1, ,5, ,3,"8,9", ,3, ,1,1,3,1,3, ,31, ,2,2,1, ,11, ,3,2,3,98,98,2,98,98,98,98,1.00000094986683
3381,2018/6/13 下午 16:05:19.943000,1,4,2,1,2,2,1,1,199809,200303,91,2, ,1,98,1,29, ,1,",",1,2,98, ,98,98,"2,3", ,3,98,1, ,4, ,1,"1,4,8", ,7, ,1,1,3,3,3, ,31, ,1,1,98, ,98, ,1,1,1,1,1,1,1,1,1,1,1.02301502775777
4216,2018/6/5 下午 16:53:04.047000,1,4,2,1,2,2,1,1,199807,200303,91,2, ,1,98,1,24, ,1,",",1,2,98, ,98,98,"2,3", ,3,98,1, ,5, ,1,"1,8,9", ,"4,5,7", ,1,1,3,3,3, ,31, ,1,1,98, ,98, ,1,1,2,2,1,1,2,1,1,1,1.02301502775777
3415,2018/6/13 下午 15:37:51.186000,1,4,2,1,2,2,1,1,200009,200506,93,2, ,1,98,1,23, ,1,",",2,2,98, ,98,98,"3,7", ,3,98,1, ,3, ,1,13, , , ,1,1,3,2,3, ,31, ,1,1,98, ,98, ,1,1,98,1,98,98,98,98,98,98,1.2481840821965
2581,2018/6/14 上午 00:19:20.025000,1,4,2,1,2,2,1,2,200406,200907,97,2, ,1,98,2,23, ,1,",",1,2,98, ,98,98,"2,3", ,3,98,1, ,5, ,2,"1,5,9", ,10, ,1,1,3,3,3, ,31, ,3,1,98, ,98, ,2,2,3,2,3,3,2,3,3,3,1.4185914823124
216,2018/6/25 下午 15:13:43.767000,1,4,2,1,2,2,1,2,200309,200712,96,2, ,1,98,2,27, ,2,",",1,2,98, ,98,98,"3,4", ,4,1,1, ,5, ,1,"1,2,3", ,5, ,1,1,3,1,3, ,31, ,1,1,98, ,98, ,1,1,98,98,98,1,98,98,98,98,1.41954173735271
2454,2018/6/14 上午 08:27:36.130000,1,3,2,1,2,2,1,1,200509,201006,98,2, ,1,98,1,21, ,1,",",1,2,98, ,98,98,"3,4", ,2,1,1, ,9, ,1,"1,2,6", ,"7,10", ,1,1,3,1,3, ,31, ,2,1,98, ,98, ,2,2,3,3,3,3,3,3,2,2,1.45807626437196
511,2018/6/25 上午 11:26:16.302000,1,5,2,1,2,2,1,3,199909,200806,96,1, ,3,98,2,15, ,2,",",1,2,98, ,98,98,"3,6,7", ,3,98,7, ,9, ,2,"3,4", ,"6,7", ,1,2,2,98,2, ,21, ,2,1,98, ,98, ,2,3,3,3,3,3,3,3,1,2,.85602740645886
3781,2018/6/6 下午 14:37:52.100000,1,5,2,1,2,2,2,2,200208,200506,93,2, ,5,98,2,17, ,1,",",1,2,98, ,98,98,"3,6", ,2,98,5, ,4, ,2,"2,4,8", ,6, ,1,2,4,98,2, ,21, ,1,1,98, ,98, ,1,1,2,2,1,1,1,1,2,2,.48946534509219
2354,2018/6/14 上午 09:16:53.329000,2,4,2,1,2,2,1,2,199108,201107,99,1, ,2,98,1,77, ,1,",",1,2,98, ,98,98,"1,3,4,6", ,2,1,5, ,8, ,3,"1,2,9", ,"6,7", ,1,2,2,98,2, ,21, ,3,1,98, ,98, ,4,3,4,2,1,4,1,1,3,5,.920866395659981
3926,2018/6/6 上午 08:23:15.391000,1,4,2,1,2,2,1,2,199909,200307,91,2, ,1,98,1,20, ,1,",",1,2,98, ,98,98,3, ,2,98,5, ,2, ,1,"1,4,9", ,"3,7", ,1,1,3,1,2, ,21, ,3,1,98, ,98, ,2,98,3,98,98,3,98,98,98,98,1.02301502775777
2231,2018/6/14 上午 10:45:15.730000,2,3,2,1,2,2,1,2,200306,200906,97,2, ,1,98,1,77, ,2,",",1,2,98, ,98,98,"3,4,6,7", ,1,1,4, ,6, ,3,3, ,"2,4", ,1,1,3,2,2, ,22, ,3,1,98, ,98, ,2,98,98,98,1,98,1,98,98,98,.532605661731067
4379,2018/6/5 下午 15:26:17.491000,2,3,2,1,2,2,1,1,200708,201105,99,2, ,7,1,1,65, ,1,",",1,2,98, ,98,98,"2,3,4,5,7", ,4,1,4, ,1, ,1,13, , , ,1,3,98,98,2, ,21, ,5,2,1, ,11, ,4,4,5,6,5,2,6,6,6,6,.35267200115095
3016,2018/6/13 下午 19:41:32.004000,2,4,2,1,2,2,1,1,199809,200505,93,2, ,1,98,1,40, ,1,",",1,2,98, ,98,98,3, ,2,98,4, ,8, ,2,"1,2,3", ,4, ,1,1,3,1,2, ,21, ,2,1,98, ,98, ,2,2,2,2,2,2,2,2,1,3,.687574651541209
166,2018/6/25 下午 16:09:21.565000,1,4,1,1,2,2,2,3,200609,201410,103,1, ,3,98,1,11, ,1,",",2,2,98, ,98,98,"3,6,7", ,2,98,4, ,2, ,3,"2,4", ,"7,10,11", ,1,2,3,1,2, ,21, ,3,2,1, ,12, ,4,98,3,98,2,2,3,3,98,98,1.18936547919822
4031,2018/6/5 下午 21:12:11.018000,1,6,2,2,1,3,2,3,200109,200902,97,1, ,1,98,1,20, ,1,",",2,2,98, ,98,98,"3,4,6", ,2,1,4, ,1, ,4,4, ,"1,2,3", ,1,1,4,98,2, ,21, ,3,2,1, ,11, ,5,4,3,3,5,98,98,98,98,98,1.4185914823124
4523,2018/6/5 下午 14:26:37.425000,1,2,1,1,2,2,1,2,200809,201406,102,2, ,1,98,1,21,應用力學,1,",",1,2,98, ,98,98,3, ,2,98,4, ,1, ,1,"4,7,9", ,3, ,1,2,3,3,2, ,21, ,3,1,98, ,98, ,3,2,3,3,1,3,3,98,98,98,2.97951662695039
2449,2018/6/14 上午 08:31:33.219000,2,4,2,2,1,3,2,4,200709,201706,105,1, ,5,98,2,45, ,1,",",2,2,98, ,98,98,"3,4,5", ,2,2,3, ,4, ,2,"1,2,3", ,"6,7,11", ,1,2,3,1,2, ,21, ,2,2,1, ,11, ,3,2,2,2,2,2,98,2,2,2,1.77779423020924
4006,2018/6/5 下午 22:07:10.299000,1,3,2,1,2,2,1,1,200508,201006,98,2, ,5,98,1,77, ,1,",",1,2,98, ,98,98,"2,3,7", ,1,98,2, ,5, ,5,"8,9", ,"4,5,7", ,1,1,4,98,2, ,21, ,2,1,98, ,98, ,3,5,3,3,2,3,1,4,1,3,.72727107840346
1628,2018/6/25 上午 00:50:16.731000,2,2,2,1,2,2,1,2,200909,201402,102,2, ,5,98,1,43, ,1,",",1,2,98, ,98,98,"3,5", ,4,98,2, ,3, ,3,"1,4,11", ,"6,9,10", ,1,1,4,98,2, ,21, ,2,1,98, ,98, ,1,2,2,1,1,1,1,1,2,1,1.13195197718356
748,2018/6/25 上午 10:06:58.356000,2,4,2,1,2,2,1,2,200609,201401,102,1, ,1,98,2,60, ,1,",",1,2,98, ,98,98,"3,6,7", ,1,98,1, ,4, ,2,"9,11", ,"2,3", ,1,2,2,98,2, ,21, ,3,2,1, ,11, ,3,2,4,3,4,4,4,2,2,2,.531203812041335
1674,2018/6/21 下午 12:46:24.777000,2,3,2,1,2,2,1,2,200908,201306,101,2, ,1,98,2,73,運動,2,",",2,2,98, ,98,98,"3,6,7", ,1,98,1, ,4, ,2,"5,8,9", ,"1,3,4", ,1,1,3,1,2, ,21, ,2,1,98, ,98, ,1,2,2,2,1,2,2,2,2,2,.955463533455374
28,2018/6/25 下午 21:28:48.367000,2,4,2,1,2,2,1,2,200209,201106,99,1, ,1,98,1,14, ,1,",",1,2,98, ,98,98,3, ,3,98,1, ,7, ,3,"1,5", ,"2,3,9", ,1,2,3,3,2, ,21, ,1,1,98, ,98, ,1,1,1,1,1,1,1,1,2,1,1.09415951503944
2210,2018/6/14 上午 11:04:48.833000,1,6,2,1,2,2,2,4,199608,200507,93,1, ,1,98,1,20, ,1,",",1,2,98, ,98,98,"3,4,6,7", ,2,2,4, ,9, ,3,"2,4,9", ,12,無,1,2,4,98,1, ,11,專任教師,5,1,98, ,98, ,5,5,2,2,5,5,5,6,4,2,1.2481840821965
4700,2018/6/5 下午 13:05:40.777000,1,4,2,2,2,4,1,3,200309,201206,100,1, ,1,98,2,62, ,1,",",1,2,98, ,98,98,"2,3,6,7", ,3,98,4, ,2, ,1,"1,2,9", ,4, ,1,3,98,98,1, ,11,兼任助理教授,3,1,98, ,98, ,3,98,3,98,2,98,98,98,98,98,.900105651582079
4137,2018/6/5 下午 17:58:42.695000,1,5,1,1,1,1,1,2,199909,200506,93,2, ,5,98,1,64, ,1,",",2,2,98, ,98,98,"3,4,6,7", ,1,3,3, ,4, ,2,"1,2,9", ,"3,4,7", ,1,2,4,98,1, ,12,計畫專案教師,4,2,1,教學,11, ,3,3,4,2,2,3,3,3,3,3,.512006512300383
2859,2018/6/13 下午 20:56:48.647000,2,2,1,1,2,2,1,2,201009,201501,103,2, ,1,98,1,73, ,1,",",1,2,98, ,98,98,3, ,3,98,8, ,1, ,3,"9,10,11", ,"4,5,7", ,1,2,4,98,1, ,11,私立科大專任助理教授,4,1,98, ,98, ,3,4,3,2,2,2,2,2,2,3,.644413258269043
4871,2018/6/5 上午 10:54:34.198000,1,3,1,1,2,2,1,1,200207,200711,96,2, ,1,98,1,12, ,1,",",1,2,98, ,98,98,3, ,3,98,10, ,10, ,3,"2,9,10", ,"4,6,7", ,1,2,4,98,1, ,12, ,1,1,98, ,98, ,1,1,4,1,1,1,3,1,3,3,.859314218849648
917,2018/6/25 上午 09:28:36.884000,1,4,1,1,2,2,2,2,200709,201106,99,2, ,1,98,1,14, ,1,",",2,2,98, ,98,98,3, ,4,98,10, ,10, ,2,"8,9", ,"1,2,6", ,1,1,4,98,1, ,12, ,1,1,98, ,98, ,6,6,6,6,6,6,6,6,6,6,1.63123693057789
3831,2018/6/6 下午 12:33:02.759000,1,3,2,1,2,2,1,1,200108,200807,96,2, ,1,98,1,11, ,1,",",1,2,98, ,98,98,3, ,3,98,10, ,4, ,3,5, ,"2,3", ,1,1,4,98,1, ,11, ,1,1,98, ,98, ,2,3,2,3,1,3,1,3,5,3,.859314218849648
4797,2018/6/5 上午 11:46:10.632000,1,5,2,1,2,2,1,2,199809,200207,90,2, ,1,98,1,28, ,1,",",2,2,98, ,98,98,"3,4,7", ,2,3,10, ,8, ,1,"9,11", ,"5,10", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,1,2,1,1,2,1,1,3,3,1.01446175754557
2400,2018/6/14 上午 08:50:23.437000,1,5,2,1,2,2,2,2,200008,200407,92,2, ,1,98,2,53, ,4,",",2,2,98, ,98,98,"3,7", ,3,98,9, ,7, ,2,"4,8,9", ,12, ,1,2,3,3,1, ,12, ,2,1,98, ,98, ,2,98,98,98,98,98,98,2,98,1,.55421864276584
3117,2018/6/13 下午 18:32:26.471000,2,3,1,1,2,2,1,2,200708,201307,101,2, ,3,98,1,73, ,1,",",1,2,98, ,98,98,"3,7", ,1,98,9, ,7, ,4,9, ,"1,2,3", ,1,2,4,98,1, ,12, ,5,1,98, ,98, ,5,5,5,98,6,5,3,3,98,2,.99154155143609
3331,2018/6/13 下午 16:30:31.336000,1,2,2,1,2,2,1,2,200509,201208,100,2, ,1,98,1,41, ,1,",",1,2,98, ,98,98,"3,4,6,7", ,2,1,9, ,8, ,3,"2,4,9", ,12,獎助學金過低,1,2,3,1,1, ,12, ,4,2,4, ,44, ,4,3,5,5,5,5,2,5,1,1,1.07305171564152
559,2018/6/25 上午 11:08:19.541000,1,2,2,1,2,2,1,2,201208,201607,104,2, ,5,98,1,11, ,1,",",1,2,98, ,98,98,"3,5", ,2,98,9, ,1, ,1,"2,7,9", ,"4,5", ,1,2,3,1,1, ,12, ,2,2,4, ,42, ,2,2,4,6,2,2,3,3,3,2,1.08044639441908
1566,2018/6/25 上午 03:38:19.076000,1,3,1,1,2,2,1,1,200512,200907,97,2, ,1,98,1,25, ,2,",",1,2,98, ,98,98,"3,7", ,2,98,9, ,8, ,2,"7,8,9", ,"3,5,6", ,1,2,4,98,1, ,12, ,2,2,1, ,11, ,2,2,3,2,2,3,2,3,2,2,1.4185914823124
2252,2018/6/14 上午 10:30:00.008000,1,3,1,1,2,2,1,2,200809,201307,101,2, ,2,98,2,12, ,1,",",2,2,98, ,98,98,3, ,3,98,9, ,8, ,2,"2,9,10", ,"4,6", ,1,2,4,98,1, ,12, ,3,2,4, ,42, ,4,3,3,4,3,3,3,4,2,1,1.44804664889227
1870,2018/6/15 下午 14:07:34.747000,1,3,2,1,2,2,1,2,200707,201211,101,2, ,1,98,2,21, ,2,",",2,2,98, ,98,98,"2,3,7", ,2,98,9, ,7, ,3,"7,8,9", ,"3,5,11", ,1,1,3,1,1, ,12, ,3,1,98, ,98, ,3,3,3,3,2,2,2,3,2,1,3.62000632000917
436,2018/6/25 下午 12:07:07.628000,2,4,1,1,2,2,1,1,199809,200305,91,2, ,1,98,1,80, ,1,",",1,2,98, ,98,98,"2,3,5,7", ,3,98,9, ,6, ,2,"2,9", ,12,無,1,2,3,3,1, ,11, ,3,1,98, ,98, ,3,3,3,3,2,3,3,3,3,2,.000367882628774289
340,2018/6/25 下午 13:25:37.369000,2,3,2,1,2,2,1,2,200508,200902,97,2, ,7,1,1,80, ,1,",",2,2,98, ,98,98,"2,3,7", ,2,98,9, ,5, ,2,13, , , ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,1,1,1,1,1,2,1,3,1,.307419852327453
3558,2018/6/8 上午 09:24:20.085000,1,3,1,1,2,2,1,1,200308,200701,95,2, ,1,98,1,17, ,1,",",1,2,98, ,98,98,"3,7", ,2,98,9, ,4, ,3,"8,9", ,"3,5,11", ,1,1,3,1,1, ,11, ,4,1,98, ,98, ,3,4,4,3,3,2,3,3,2,1,.319578251241966
2984,2018/6/13 下午 19:57:33.260000,1,4,2,1,2,2,1,2,200008,200507,93,2, ,1,98,1,52, ,1,",",1,2,98, ,98,98,"3,6,7", ,1,98,9, ,4, ,4,"8,9", ,"3,6,7", ,1,1,3,1,1, ,11, ,4,1,98, ,98, ,4,3,3,4,2,4,3,5,2,3,.365812895014238
1714,2018/6/19 下午 22:23:01.139000,1,5,2,1,2,2,2,4,200101,200712,96,2, ,7,1,2,20, ,1,",",1,2,98, ,98,98,"2,3", ,5,98,9, ,2, ,2,"1,2,9", ,"3,6,7", ,1,2,3,3,1, ,11, ,5,2,6, ,61, ,4,3,3,2,2,4,3,3,2,2,.393301738080989
2213,2018/6/14 上午 11:00:43.179000,1,4,2,1,2,2,1,1,200009,200702,95,1, ,1,98,2,52, ,2,",",2,2,98, ,98,98,"3,7", ,2,98,9, ,1, ,2,"3,9,11", ,"2,7", ,1,1,3,1,1, ,11, ,3,1,98, ,98, ,4,3,3,4,2,4,2,3,4,2,.409060161589716
910,2018/6/25 上午 09:31:14.678000,1,4,2,1,2,2,1,2,200409,200906,97,2, ,7,1,2,27, ,1,",",1,2,98, ,98,98,"2,3,5,7", ,5,98,9, ,1, ,2,"2,7,9", ,6, ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,1,1,1,1,1,1,1,2,1,.515767440257614
3585,2018/6/7 下午 19:45:32.688000,2,3,2,1,2,2,1,1,200309,200806,96,2, ,1,98,1,15, ,1,",",1,2,98, ,98,98,"3,6", ,3,98,9, ,8, ,2,"7,8,9", ,"3,6", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,1,3,3,1,3,1,2,1,1,.566947875007
1342,2018/6/25 上午 07:46:21.954000,2,5,2,1,2,2,1,2,199909,200406,92,2, ,1,98,1,77, ,1,",",2,2,98, ,98,98,"2,3,6,7", ,2,98,9, ,8, ,2,"2,5,9", ,"1,10,11", ,1,1,3,1,1, ,11, ,2,1,98, ,98, ,2,3,2,3,2,2,2,3,2,2,.590398099822501
2699,2018/6/13 下午 22:27:20.632000,2,3,1,1,2,2,1,1,200509,201102,99,2, ,5,98,1,44, ,1,",",1,2,98, ,98,98,"3,6,7", ,1,98,9, ,5, ,1,"4,9,10", ,"2,7", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,98,98,98,98,1,98,98,98,1,.602118929855918
2736,2018/6/13 下午 22:06:36.047000,1,5,2,1,2,2,1,1,199609,200106,89,2, ,1,98,1,12, ,1,",",1,2,98, ,98,98,3, ,3,98,9, ,7, ,1,"2,8,9", ,"5,11", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,6,6,6,1,6,1,1,1,1,.622856722601327
2244,2018/6/14 上午 10:36:32.630000,1,4,2,1,2,2,1,1,199909,200301,91,2, ,1,98,2,12, ,1,",",1,2,98, ,98,98,"3,7", ,4,98,9, ,5, ,2,"4,9,10", ,"1,2,3", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,98,98,98,98,3,98,98,98,2,.637092692017605
1746,2018/6/19 上午 09:30:01.718000,2,3,1,1,2,2,1,2,200507,201407,102,1, ,1,98,1,43, ,1,",",1,2,98, ,98,98,"3,4,6", ,2,1,9, ,8, ,4,"1,9", ,"2,6", ,1,1,1,98,1, ,11, ,3,1,98, ,98, ,4,3,3,2,4,4,4,3,3,3,.68852898285497
489,2018/6/25 上午 11:35:44.330000,1,5,2,1,2,2,1,3,199908,200505,93,2, ,7,1,2,12, ,1,",",1,2,98, ,98,98,"2,3,5", ,5,98,9, ,3, ,2,"2,4,9", ,6, ,1,1,3,1,1, ,11, ,3,1,98, ,98, ,2,2,3,2,2,2,2,2,1,1,.715893981751147
2080,2018/6/14 下午 14:19:46.553000,1,4,2,1,2,2,2,3,200108,201002,98,1, ,2,98,1,77, ,1,",",2,2,98, ,98,98,"3,4,6", ,2,1,9, ,1, ,3,"1,2", ,"4,8", ,1,1,3,2,1, ,11, ,3,1,98, ,98, ,3,3,4,6,6,5,6,3,3,2,.72179441202164
3453,2018/6/12 下午 17:14:48.907000,2,2,1,1,2,2,1,2,200909,201606,104,1, ,1,98,1,43, ,1,",",1,2,98, ,98,98,"2,3,4,7", ,2,1,9, ,4, ,1,"2,3,8", ,4, ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,98,98,98,1,98,98,98,98,1,.765791780275727
3089,2018/6/13 下午 18:51:41.900000,1,4,2,1,2,2,1,1,200007,200508,93,2, ,5,98,1,46, ,1,",",1,2,98, ,98,98,"2,3,7", ,1,98,9, ,5, ,2,"1,2,3", ,"4,7", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,2,2,2,2,2,2,2,1,2,.813755078373084
3018,2018/6/13 下午 19:39:26.081000,1,3,2,1,2,2,1,1,200307,200802,96,2, ,1,98,1,12, ,1,",",1,2,98, ,98,98,"3,7", ,3,98,9, ,2, ,3,"1,3,8", ,"6,9", ,1,2,4,98,1, ,11, ,2,1,98, ,98, ,3,3,1,3,1,4,1,2,2,1,.859314218849648
139,2018/6/25 下午 16:40:22.352000,1,6,2,1,2,2,1,2,199609,200205,90,2, ,7,1,2,21, ,1,",",1,2,98, ,98,98,"3,7", ,4,98,9, ,3, ,1,"2,6,9", ,10, ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,2,3,2,3,2,3,2,4,1,.863337801287871
4514,2018/6/5 下午 14:28:50.883000,1,3,2,1,2,2,1,1,200409,200806,96,2, ,2,98,2,25, ,1,",",1,2,98, ,98,98,"2,3,4,7", ,2,1,9, ,4, ,1,"1,2", ,"5,6", ,1,1,3,1,1, ,11, ,2,1,98, ,98, ,2,98,98,98,1,98,98,98,98,1,.908328196038764
1325,2018/6/25 上午 07:54:23.980000,2,4,2,1,2,2,1,1,199707,200107,89,2, ,3,98,1,12, ,1,",",1,2,98, ,98,98,"3,7", ,3,98,9, ,8, ,2,2, ,7, ,1,1,4,98,1, ,11, ,2,2,4, ,42, ,2,2,2,2,2,2,2,2,1,1,.926254071716612
2610,2018/6/13 下午 23:34:55.451000,2,5,2,1,2,2,1,1,199708,200106,89,2, ,3,98,1,12, ,1,",",1,2,98, ,98,98,"3,7", ,4,98,9, ,1, ,1,"2,5,9", ,"6,7", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,2,2,2,2,2,2,2,2,1,.926254071716612
4557,2018/6/5 下午 14:19:05.929000,2,5,2,1,2,2,1,1,199708,200106,89,2, ,3,98,1,12, ,1,",",1,2,98, ,98,98,3, ,4,98,9, ,8, ,1,"2,6,9", ,"3,7", ,1,1,4,98,1, ,11, ,2,2,6, ,61, ,2,2,3,2,2,3,2,2,1,1,.926254071716612
4701,2018/6/5 下午 13:03:38.114000,1,5,2,1,2,2,1,2,199708,200306,91,2, ,1,98,2,20, ,1,",",1,2,98, ,98,98,"2,3", ,2,98,9, ,5, ,1,"1,2,4", ,12, ,1,2,3,1,1, ,11, ,1,1,98, ,98, ,1,1,1,1,1,1,3,3,3,1,1.02301502775777
3747,2018/6/6 下午 16:39:34.756000,1,5,2,2,2,4,1,2,199609,200210,91,2, ,1,98,1,20, ,1,",",1,2,98, ,98,98,"2,3,4,6", ,1,1,9, ,2, ,2,"2,8,9", ,"5,10,11", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,2,2,2,1,1,1,6,6,1,1.02301502775777
3511,2018/6/9 下午 17:41:52.612000,1,2,1,1,2,2,1,2,201009,201606,104,2, ,5,98,2,77, ,2,",",1,2,98, ,98,98,"3,4,5,6", ,3,2,9, ,8, ,1,13, , , ,1,1,4,98,1, ,11, ,1,1,98, ,98, ,1,98,98,98,98,98,98,98,2,1,1.18266509742049
2659,2018/6/13 下午 22:51:39.497000,1,5,2,1,2,2,2,3,200109,200506,93,2, ,1,98,1,22, ,1,",",1,2,98, ,98,98,"2,3,5,7", ,2,98,9, ,2, ,2,9, ,2, ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,2,3,2,2,2,3,2,3,4,1,1.2481840821965
3911,2018/6/6 上午 08:56:24.192000,1,4,2,1,2,2,1,2,200109,200807,96,2, ,1,98,1,22, ,1,",",1,2,98, ,98,98,"3,4,7", ,1,2,9, ,1, ,2,"4,9,10", ,"1,3,6", ,1,1,4,98,1, ,11, ,2,1,98, ,98, ,1,2,1,2,1,1,98,98,98,1,1.41954173735271
4618,2018/6/5 下午 13:43:46.634000,2,4,2,1,2,2,1,1,200208,200607,94,2, ,3,98,1,73, ,1,",",1,2,98, ,98,98,"2,3,4,7", ,2,2,9, ,1, ,1,"1,2,5", ,"6,7,8", ,1,1,3,1,1, ,11, ,1,1,98, ,98, ,1,1,2,1,1,2,2,2,1,1,1.76568566617884
1794,2018/6/17 下午 16:26:27.965000,2,3,1,1,2,2,1,2,200908,201603,104,2, ,1,98,1,62, ,1,",",2,2,98, ,98,98,"3,6,7", ,3,98,8, ,1, ,2,"2,3,5", ,4, ,1,2,3,1,1, ,12, ,2,1,98, ,98, ,2,2,3,2,2,2,2,3,2,3,.566653537201912
4322,2018/6/5 下午 15:55:33.196000,2,3,2,1,2,2,1,3,200808,201701,105,1, ,1,98,2,62, ,1,",",1,2,98, ,98,98,"2,3,7", ,3,98,8, ,4, ,3,"4,9,10", ,6, ,1,2,3,2,1, ,12, ,2,1,98, ,98, ,2,3,2,3,2,2,2,2,2,3,.754370900716444
4547,2018/6/5 下午 14:21:24.785000,1,5,2,1,2,2,1,2,199509,200106,89,2, ,1,98,1,21, ,1,",",1,2,98, ,98,98,"2,3", ,2,98,8, ,4, ,3,"7,9,10", ,"3,5", ,1,2,4,98,1, ,12, ,3,1,98, ,98, ,2,1,4,3,2,3,6,6,3,6,.798881448553876
1899,2018/6/15 上午 11:19:05.439000,2,2,1,1,2,2,1,1,200809,201206,100,2, ,1,98,1,15, ,1,",",1,2,98, ,98,98,3, ,3,98,8, ,9, ,2,"2,8,10", ,"3,5,7", ,1,2,2,98,1, ,12, ,3,1,98, ,98, ,3,4,4,3,2,3,3,3,2,2,.815834876361224
3794,2018/6/6 下午 14:12:03.486000,1,4,2,1,2,2,1,1,200209,200607,94,2, ,2,98,1,22, ,1,",",1,2,98, ,98,98,"2,3", ,2,98,8, ,4, ,2,"2,8,9", ,"4,5,11", ,1,2,4,98,1, ,12, ,2,1,98, ,98, ,2,3,3,3,2,3,2,3,2,3,1.04275460187883
