no,,性別,年齡,目前婚姻狀態,進修博士時婚姻狀態,,決定進修博士時婚姻與子女狀態,入學年齡,畢業年齡,,,,是否曾休學,,學校類型,,博士與碩士學校是否相同,就讀科系,,博士與碩士學位相關度,,就學身分,就讀博士時是全職/在職學生,,,,,,,,,就讀博士的首要動機為?,,,,您對博士修業整體滿意度為?,,,,,目前就業情況為?,工作類型,此工作為?,,目前工作的機構別為?,,目前工作的職業別為?,,您對目前工作的滿意度為何?,您目前的工作與您當初獲得博士學位時原有規劃之職涯機構別與職業別是否符合?,,,,,整體而言，您認為您的博士學位效益如何?
1233,,2,4,2,1,,2,1,2,,,,2,,7,,2,79,,2,,2,2,,,,,,,,,7,,,,1,,,,,1,1,3,,1,,11, ,1,1,,,,,1
1462,,1,4,2,1,,2,1,2,,,,2,,7,,2,71,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,1,3,,1,,11, ,1,1,,,,,2
34,,2,5,1,1,,2,2,3,,,,2,,7,,1,73,,3,,1,2,,,,,,,,,7,,,,2,,,,,1,2,3,,1,,11, ,2,1,,,,,1
3709,,1,4,2,1,,2,1,2,,,,2,,5,,1,64,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,3,98,,1,,11, ,3,1,,,,,2
4009,,2,3,2,1,,2,1,2,,,,2,,1,,1,60,,1,,2,2,,,,,,,,,7,,,,3,,,,,1,1,3,,1,,11, ,2,1,,,,,1
4118,,1,6,2,1,,2,2,3,,,,2,,1,,2,15,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,1
4452,,1,4,2,1,,2,1,2,,,,2,,7,,2,21,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,4,1,,,,,3
1384,,1,4,1,1,,2,1,3,,,,2,,7,,2,65,,99,,2,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,1
1534,,1,5,2,1,,2,1,2,,,,2,,1,,1,41,,1,,2,2,,,,,,,,,7,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
878,,2,3,2,2,,4,1,2,,,,2,,7,,2,42,,2,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,3,2,,,,,1
2558,,2,4,1,1,,2,1,2,,,,2,,7,,2,73,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,1,2,,,,,1
3463,,1,5,2,1,,2,2,3,,,,2,,7,,2,73,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,1,1,,,,,1
2436,,2,2,2,1,,2,1,2,,,,2,,1,,99,40,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,3,1,,,,,4
2975,,2,4,2,1,,2,1,2,,,,1,,1,,1,77,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,3,1,,,,,3
2459,,2,4,1,1,,2,1,1,,,,2,,1,,1,70,,1,,1,2,,,,,,,,,7,,,,3,,,,,1,1,3,,1,,11, ,2,1,,,,,1
437,,2,4,2,1,,2,1,2,,,,2,,1,,2,77,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,2
2970,,1,3,2,1,,2,1,1,,,,2,,1,,1,81,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,2
4020,,1,3,1,1,,2,1,2,,,,2,,1,,1,10,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,1,3,,1,,11, ,3,1,,,,,2
450,,1,5,1,1,,2,1,2,,,,2,,1,,1,12,,1,,2,2,,,,,,,,,7,,,,3,,,,,1,2,4,,1,,11, ,3,1,,,,,1
3866,,1,4,2,1,,2,1,1,,,,2,,1,,1,12,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,1,1,,,,,1
440,,2,3,2,1,,2,1,2,,,,2,,1,,2,77,,2,,1,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,1,1,,,,,1
3716,,2,3,2,1,,2,1,2,,,,2,,1,,2,77,,1,,2,2,,,,,,,,,7,,,,1,,,,,1,1,3,,1,,11, ,2,1,,,,,1
1799,,1,4,2,1,,2,1,2,,,,2,,1,,1,64,,1,,1,2,,,,,,,,,7,,,,3,,,,,1,1,4,,1,,11, ,1,1,,,,,1
4756,,1,4,2,1,,2,1,2,,,,2,,1,,1,71,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,2
2327,,2,4,1,1,,2,1,2,,,,2,,7,,2,73,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,1
2235,,2,3,2,1,,2,1,2,,,,1,,1,,1,45,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,3
503,,2,5,1,1,,2,1,3,,,,2,,1,,2,64,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,1,2,,1,,11, ,2,1,,,,,1
4411,,2,4,1,1,,2,1,2,,,,1,,5,,1,47,,2,,2,2,,,,,,,,,7,,,,3,,,,,1,2,3,,1,,11, ,3,2,,,,,4
2561,,1,5,2,1,,2,1,2,,,,2,,1,,2,20,,1,,2,2,,,,,,,,,7,,,,4,,,,,1,2,4,,1,,11, ,2,2,,,,,2
825,,1,6,2,2,,3,2,3,,,,2,,1,,1,22,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,1
54,,2,4,1,1,,2,1,2,,,,2,,1,,1,60,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,3,,1,,11, ,1,1,,,,,1
2165,,2,4,1,1,,2,2,3,,,,2,,1,,2,72,,99,,2,2,,,,,,,,,7,,,,3,,,,,1,1,3,,1,,11, ,3,1,,,,,2
409,,1,6,2,1,,2,2,3,,,,2,,1,,2,71,,1,,1,2,,,,,,,,,7,,,,6,,,,,1,1,2,,1,,11, ,2,1,,,,,3
1081,,1,3,1,1,,2,1,2,,,,2,,1,,2,17,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
3478,,1,4,2,1,,2,1,1,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
4244,,1,5,2,2,,4,1,2,,,,2,,1,,1,16,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,1,1,,,,,2
1184,,2,4,2,1,,2,1,2,,,,2,,1,,2,20,,2,,2,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,3,1,,,,,2
2477,,1,4,2,1,,2,1,2,,,,2,,1,,1,70,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,3,,1,,11, ,3,1,,,,,3
667,,1,4,1,1,,2,1,3,,,,2,,7,,2,72,,1,,2,2,,,,,,,,,7,,,,3,,,,,1,1,4,,1,,11, ,3,1,,,,,3
2062,,1,5,2,1,,2,1,2,,,,1,,1,,1,20,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
1980,,1,6,2,1,,2,1,3,,,,2,,1,,2,20,,2,,2,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,2
3050,,2,4,1,1,,2,3,4,,,,2,,5,,2,45,,1,,2,2,,,,,,,,,7,,,,1,,,,,1,1,3,,1,,11, ,1,1,,,,,2
2185,,1,3,1,1,,2,1,3,,,,1,,1,,2,77,,3,,2,2,,,,,,,,,7,,,,5,,,,,1,1,4,,1,,11, ,2,1,,,,,3
2163,,1,3,2,2,,4,1,2,,,,2,,1,,2,71,,1,,2,2,,,,,,,,,7,,,,1,,,,,1,1,3,,1,,11, ,4,1,,,,,4
4795,,2,3,2,1,,2,1,1,,,,2,,1,,1,21,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
264,,1,5,2,2,,3,1,2,,,,2,,7,,1,73,,1,,2,2,,,,,,,,,7,,,,3,,,,,1,2,3,,1,,11, ,2,1,,,,,2
2866,,1,4,2,1,,2,1,2,,,,2,,3,,1,14,,1,,2,2,,,,,,,,,7,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
943,,2,5,2,2,,4,2,3,,,,2,,3,,2,73,,2,,2,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,2
2804,,1,4,2,1,,2,2,3,,,,1,,2,,2,28,,2,,2,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,3,1,,,,,2
1408,,2,5,1,1,,2,3,4,,,,2,,7,,2,73,,2,,2,2,,,,,,,,,7,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,2
1057,,2,5,2,1,,2,1,2,,,,2,,3,,2,73,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,1
46,,1,3,2,1,,2,1,1,,,,2,,2,,2,25,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,2
1316,,2,4,2,2,,4,2,3,,,,2,,7,,2,60,,2,,2,2,,,,,,,,,6,,,,1,,,,,1,1,3,,1,,11, ,4,1,,,,,4
3135,,2,8,1,1,,1,4,6,,,,1,,6,,2,77,,3,,2,2,,,,,,,,,6,,,,2,,,,,1,1,2,,1,,11, ,2,1,,,,,1
4517,,1,7,2,2,,4,2,6,,,,1,,1,,2,50,,1,,1,2,,,,,,,,,6,,,,2,,,,,1,2,3,,1,,11, ,1,1,,,,,1
3306,,1,5,2,1,,2,2,3,,,,2,,1,,2,71,,2,,2,2,,,,,,,,,6,,,,3,,,,,1,1,3,,1,,11, ,2,1,,,,,2
1492,,1,5,2,2,,4,3,4,,,,2,,1,,2,65,,5,,2,2,,,,,,,,,6,,,,2,,,,,1,1,4,,1,,11, ,3,1,,,,,3
3157,,1,3,2,1,,2,1,2,,,,1,,7,,2,73,,1,,1,2,,,,,,,,,6,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,2
1406,,2,4,2,1,,2,1,1,,,,2,,1,,1,41,,1,,1,2,,,,,,,,,6,,,,2,,,,,1,2,3,,1,,11, ,1,1,,,,,2
45,,2,7,2,2,,3,3,3,,,,2,,1,,2,45,,2,,2,2,,,,,,,,,6,,,,1,,,,,1,2,4,,1,,11, ,1,1,,,,,1
304,,2,3,1,1,,2,2,3,,,,1,,1,,2,51,,1,,2,2,,,,,,,,,6,,,,3,,,,,1,2,4,,1,,11, ,2,2,,,,,2
799,,1,3,2,1,,2,1,1,,,,2,,5,,1,15,,1,,1,2,,,,,,,,,6,,,,2,,,,,1,1,3,,1,,11, ,1,1,,,,,1
3313,,1,2,2,1,,2,1,1,,,,2,,7,,2,28,,2,,1,2,,,,,,,,,6,,,,2,,,,,1,1,3,,1,,11, ,1,1,,,,,1
533,,1,3,2,1,,2,1,2,,,,2,,5,,1,40,,2,,1,2,,,,,,,,,5,,,,3,,,,,1,2,4,,1,,12, ,3,2,,,,,4
2186,,1,3,2,1,,2,1,1,,,,2,,5,,1,12,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,2,4,,1,,12, ,2,1,,,,,2
1077,,1,5,2,2,,3,2,3,,,,2,,1,,1,22,,1,,2,2,,,,,,,,,5,,,,3,,,,,1,2,4,,1,,12, ,3,2,,,,,3
319,,2,3,1,1,,2,1,1,,,,2,,1,,1,15,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,2,4,,1,,12, ,2,2,,,,,3
2099,,1,4,2,1,,2,2,3,,,,1,,1,,1,75,,1,,2,2,,,,,,,,,5,,,,3,,,,,1,2,2,,1,,12, ,2,1,,,,,3
430,,1,3,2,1,,2,1,2,,,,2,,1,,1,22,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,2,,1,,12, ,3,1,,,,,2
4850,,1,4,2,1,,2,1,1,,,,2,,1,,2,17,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,1,4,,1,,11, ,2,1,,,,,2
1388,,2,4,2,1,,2,1,2,,,,2,,7,,2,73,,2,,2,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,1
1257,,2,4,1,1,,2,1,2,,,,2,,7,,2,60,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,1
889,,2,5,2,2,,4,2,3,,,,2,,1,,2,51,,1,,2,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,3,1,,,,,1
1815,,1,6,2,2,,4,1,2,,,,2,,7,,1,15,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,2,4,,1,,11, ,4,2,,,,,2
1840,,2,5,1,1,,2,2,2,,,,2,,1,,1,69,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,2,4,,1,,11, ,2,1,,,,,1
1373,,2,5,2,1,,2,1,1,,,,2,,1,,1,73,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,5,1,,,,,3
530,,2,6,2,2,,3,2,3,,,,2,,7,,2,45,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,2,3,,1,,11, ,2,1,,,,,2
2045,,1,6,2,1,,2,2,3,,,,2,,1,,2,15,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,2,3,,1,,11, ,2,1,,,,,2
2469,,1,5,2,1,,2,1,2,,,,2,,1,,1,15,,1,,2,2,,,,,,,,,5,,,,4,,,,,1,1,4,,1,,11, ,3,1,,,,,2
3035,,1,5,2,1,,2,2,3,,,,2,,7,,1,73,,1,,2,2,,,,,,,,,5,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,1
2406,,1,5,2,1,,2,2,3,,,,1,,1,,1,50,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,2,3,,1,,11, ,3,1,,,,,1
3454,,2,2,1,1,,2,1,1,,,,2,,1,,1,10,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,2,2,,,,,2
3237,,2,4,2,2,,4,2,3,,,,2,,1,,2,41,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,4,1,,,,,1
3987,,1,3,2,1,,2,1,1,,,,2,,7,,1,20,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
2351,,1,5,2,1,,2,1,2,,,,2,,1,,1,46,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,2,4,,1,,11, ,2,1,,,,,2
2757,,1,4,1,1,,2,1,2,,,,2,,1,,1,60,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,2,4,,1,,11, ,3,2,,,,,2
3471,,1,5,2,1,,2,1,2,,,,2,,1,,1,27,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,2,3,,1,,11, ,2,1,,,,,2
3282,,1,4,2,1,,2,1,1,,,,2,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,1,2,,,,,1
2767,,1,3,2,1,,2,1,1,,,,2,,1,,1,12,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,1,3,,1,,11, ,1,1,,,,,1
3138,,2,4,2,2,,3,1,2,,,,2,,1,,2,40,,2,,2,2,,,,,,,,,5,,,,2,,,,,1,2,3,,1,,11, ,3,1,,,,,2
2100,,2,3,1,1,,2,1,2,,,,1,,2,,2,77,,1,,2,2,,,,,,,,,5,,,,3,,,,,1,1,4,,1,,11, ,5,1,,,,,2
4721,,2,5,1,1,,2,3,4,,,,2,,1,,2,43,,1,,2,2,,,,,,,,,5,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,3
1863,,2,3,2,1,,2,1,2,,,,2,,1,,2,51,,2,,2,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,2
957,,2,3,2,1,,2,1,2,,,,2,,5,,1,41,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,2
1911,,1,3,2,1,,2,1,2,,,,2,,7,,1,23,,1,,1,2,,,,,,,,,5,,,,4,,,,,1,2,4,,1,,11, ,2,1,,,,,1
1484,,1,5,2,1,,2,1,2,,,,1,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,2,3,,1,,11, ,2,1,,,,,2
2104,,1,4,2,1,,2,1,2,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,3,98,,1,,11, ,5,2,,,,,3
603,,1,4,2,1,,2,1,1,,,,2,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,1,4,,1,,11, ,1,2,,,,,1
1790,,1,4,2,1,,2,1,1,,,,2,,1,,1,27,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,2
1550,,2,3,2,1,,2,1,3,,,,1,,5,,1,70,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,2,4,,1,,11, ,2,1,,,,,1
4090,,1,5,2,1,,2,1,2,,,,1,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,2,3,,1,,11, ,5,1,,,,,3
623,,1,4,2,1,,2,1,1,,,,2,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,3,1,,,,,2
827,,1,5,2,1,,2,1,1,,,,2,,1,,1,23,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,2,2,,,,,1
1410,,1,5,2,2,,3,2,2,,,,2,,1,,1,21,,1,,2,2,,,,,,,,,5,,,,3,,,,,1,1,4,,1,,11, ,4,2,,,,,3
1189,,2,5,2,2,,4,1,2,,,,2,,7,,2,45,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,3,1,,,,,2
3582,,1,4,1,1,,2,1,2,,,,2,,1,,1,21,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,2
883,,1,4,2,1,,2,1,1,,,,2,,1,,1,21,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,1,1,,,,,1
2677,,2,3,2,1,,2,1,1,,,,2,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,1,1,,,,,1
1441,,1,4,2,1,,2,1,2,,,,2,,1,,2,22,,1,,2,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,1
259,,1,3,2,1,,2,1,1,,,,2,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,2,4,,1,,11, ,2,1,,,,,1
1449,,1,4,1,1,,2,1,2,,,,2,,1,,1,22,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,2,4,,1,,11, ,2,1,,,,,1
4845,,1,4,1,1,,2,1,2,,,,2,,1,,1,22,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,2,4,,1,,11, ,2,1,,,,,1
3391,,1,3,2,1,,2,1,1,,,,2,,1,,1,23,,1,,1,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,2,1,,,,,1
4868,,1,3,2,1,,2,1,2,,,,2,,1,,1,12,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,2,3,,1,,11, ,3,1,,,,,2
3377,,1,4,1,1,,2,2,2,,,,2,,5,,2,28,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,1,3,,1,,11, ,3,1,,,,,1
444,,1,4,1,1,,2,2,3,,,,1,,3,,2,73,,2,,2,2,,,,,,,,,5,,,,5,,,,,1,1,3,,1,,11, ,3,1,,,,,2
4727,,1,4,2,1,,2,1,2,,,,2,,1,,2,24,,4,,1,2,,,,,,,,,5,,,,3,,,,,1,2,4,,1,,11, ,2,1,,,,,1
173,,1,2,2,1,,2,1,2,,,,2,,1,,1,21,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,4,,1,,11, ,2,2,,,,,2
2197,,1,2,1,1,,2,1,1,,,,2,,1,,1,39,,1,,2,2,,,,,,,,,5,,,,3,,,,,1,1,4,,1,,11, ,2,1,,,,,2
3743,,1,3,2,1,,2,1,2,,,,2,,7,,2,25,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,1,4,,1,,11, ,2,2,,,,,4
3387,,2,3,2,1,,2,1,2,,,,2,,1,,2,71,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,3,98,,1,,13, ,3,1,,,,,2
1064,,2,4,2,1,,2,1,2,,,,1,,1,,1,70,,1,,2,2,,,,,,,,,4,,,,3,,,,,1,1,4,,1,,13, ,3,2,,,,,3
1901,,2,4,2,1,,2,1,3,,,,1,,1,,2,15,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,13, ,2,2,,,,,3
1226,,1,4,2,1,,2,1,2,,,,2,,5,,1,15,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,3,1,,,,,3
218,,1,4,1,1,,2,1,2,,,,1,,1,,1,60,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,2,3,,1,,12, ,1,1,,,,,1
4324,,1,3,2,1,,2,1,2,,,,2,,1,,1,50,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,3,2,,,,,2
3295,,2,3,2,1,,2,1,3,,,,1,,1,,2,62,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,12, ,2,1,,,,,2
3863,,1,3,1,1,,2,1,2,,,,2,,7,,2,20,,1,,1,2,,,,,,,,,4,,,,1,,,,,1,2,4,,1,,12, ,1,1,,,,,1
705,,2,4,1,1,,2,2,3,,,,2,,1,,2,73,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,2,,1,,12, ,3,2,,,,,3
2604,,1,2,1,1,,2,1,2,,,,2,,1,,1,10,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,12, ,2,1,,,,,3
2753,,1,3,2,1,,2,1,2,,,,2,,1,,2,60,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,12, ,2,2,,,,,4
2119,,2,4,1,1,,2,2,3,,,,1,,1,,2,15,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,2,1,,,,,1
3628,,2,4,1,1,,2,2,3,,,,1,,1,,2,15,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,2,1,,,,,1
3523,,2,4,2,2,,4,3,4,,,,1,,1,,1,14,,1,,2,2,,,,,,,,,4,,,,3,,,,,1,2,4,,1,,12, ,2,1,,,,,2
658,,1,6,2,1,,2,2,3,,,,2,,1,,2,40,,1,,2,2,,,,,,,,,4,,,,1,,,,,1,2,4,,1,,12, ,3,2,,,,,3
4458,,1,3,1,1,,2,1,2,,,,2,,1,,1,10,,1,,2,2,,,,,,,,,4,,,,1,,,,,1,1,4,,1,,12, ,1,1,,,,,1
1444,,1,3,2,1,,2,1,2,,,,2,,1,,1,15,,1,,1,2,,,,,,,,,4,,,,4,,,,,1,2,4,,1,,12, ,2,1,,,,,6
3365,,2,2,1,1,,2,1,1,,,,2,,1,,2,77,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,2,1,,,,,2
621,,1,4,2,2,,4,1,2,,,,2,,1,,1,11,,1,,2,2,,,,,,,,,4,,,,3,,,,,1,2,3,,1,,12, ,2,1,,,,,2
4255,,2,4,1,1,,2,1,2,,,,2,,1,,1,15,,2,,1,2,,,,,,,,,4,,,,3,,,,,1,2,3,,1,,12, ,2,1,,,,,2
2225,,2,4,2,1,,2,1,2,,,,2,,5,,1,15,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,2,2,,1,,12, ,3,1,,,,,2
389,,1,2,1,1,,2,1,1,,,,2,,1,,1,16,,1,,1,2,,,,,,,,,4,,,,1,,,,,1,2,3,,1,,12, ,1,1,,,,,2
2910,,1,2,2,1,,2,1,1,,,,2,,1,,1,12,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,12, ,2,1,,,,,2
4619,,1,2,1,1,,2,1,1,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,4,,,,4,,,,,1,2,3,,1,,12, ,3,1,,,,,4
4876,,1,2,1,1,,2,1,2,,,,1,,1,,1,13,,1,,1,2,,,,,,,,,4,,,,4,,,,,1,2,3,,1,,12, ,5,1,,,,,3
383,,2,3,2,1,,2,1,2,,,,2,,1,,1,44,,2,,2,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,3,2,,,,,3
3208,,1,3,1,1,,2,2,3,,,,2,,1,,1,16,,1,,2,2,,,,,,,,,4,,,,4,,,,,1,2,4,,1,,12, ,1,1,,,,,2
3676,,1,2,2,1,,2,1,1,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,1,3,,1,,12, ,3,1,,,,,3
4884,,1,4,2,1,,2,2,4,,,,1,,1,,2,71,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,1,1,,,,,2
1647,,2,4,1,1,,2,1,1,,,,2,,1,,2,24,,1,,1,2,,,,,,,,,4,,,,4,,,,,1,1,4,,1,,12, ,4,1,,,,,4
4273,,1,3,1,1,,2,1,2,,,,2,,5,,1,46,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,2,1,,,,,2
4724,,2,2,2,1,,2,1,1,,,,2,,1,,1,13,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,12, ,2,1,,,,,2
4717,,1,4,2,1,,2,1,2,,,,1,,5,,1,25,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,1,1,,,,,2
2818,,1,3,2,1,,2,1,1,,,,2,,1,,1,21,,2,,1,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,3,2,,,,,3
2650,,1,4,2,1,,2,1,3,,,,1,,1,,1,71,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,2,4,,1,,12, ,3,2,,,,,4
1908,,1,2,1,1,,2,1,2,,,,2,,3,,2,15,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,12, ,1,1,,,,,2
4062,,1,3,2,1,,2,1,1,,,,2,,1,,1,23,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,2,4,,1,,12, ,1,1,,,,,2
4422,,1,3,2,1,,2,1,2,,,,2,,5,,2,23,,5,,2,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,12, ,3,1,,,,,2
4141,,2,3,2,1,,2,1,2,,,,2,,5,,2,25,,1,,2,2,,,,,,,,,4,,,,1,,,,,1,2,3,,1,,12, ,1,1,,,,,1
4550,,1,3,2,1,,2,1,2,,,,1,,3,,1,11,,1,,1,2,,,,,,,,,4,,,,1,,,,,1,2,3,,1,,12, ,3,1,,,,,2
1115,,1,3,2,1,,2,1,2,,,,1,,1,,2,20,,2,,1,2,,,,,,,,,4,,,,3,,,,,1,2,3,,1,,12, ,2,1,,,,,2
988,,1,6,2,1,,2,3,3,,,,2,,1,,2,80,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,1,4,,1,,11, ,3,1,,,,,2
1769,,2,4,2,2,,3,1,1,,,,2,,7,,2,80,,2,,1,2,,,,,,,,,4,,,,1,,,,,1,1,3,,1,,11, ,1,1,,,,,1
597,,2,3,1,1,,2,1,2,,,,2,,7,,1,65,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,3,98,,1,,11, ,5,1,,,,,5
4333,,1,4,2,1,,2,1,3,,,,2,,7,,2,10,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,2,4,,1,,11, ,2,1,,,,,2
